"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"19949",19949,-72.5183334350586,39.4166679382324,20190929,126,2.97715044021606,0,22.0200004577637,0,34.8440017700195,0,3,255,"MAB","NYB",1030,1024.10672578348,1026.34000348298,49.6135177612305
"20072",20072,-72.3450012207031,39.4183349609375,20190929,143,1.98477160930634,0,22.3899993896484,0,35.5499992370605,0,2,256,"MAB","NYB",1030,1024.53429392794,1026.46507597454,49.6135139465332
"20207",20207,-72.2699966430664,39.6783332824707,20190929,119,2.97708010673523,0,21.0300006866455,0,34.2099990844727,0,3,257,"MAB","NYB",1030,1023.89755313971,1025.8824166328,49.6123466491699
"20319",20319,-72.0699996948242,39.781665802002,20190929,120,2.9770519733429,0,21.3600006103516,0,34.4980010986328,0,3,258,"MAB","NYB",1030,1024.02666725724,1025.97441587281,49.6118774414062
"20432",20432,-71.9916687011719,39.6300010681152,20190929,277,0.992369055747986,0,23.5300006866455,0,35.4389991760254,0,1,259,"Not in NES","NYB",1040,1024.11671027858,1025.45657725805,49.6125602722168
"20635",20635,-71.995002746582,39.6133346557617,20190929,300,2.97709727287292,0,23.5400009155273,0,35.431999206543,0,3,260,"Not in NES","NYB",1040,1024.11712419719,1025.61050263613,49.6126327514648
"20926",20926,-71.803337097168,39.8566665649414,20190929,180,1.98469245433807,0,20.6700000762939,0,33.1100006103516,0,2,261,"MAB","NYB",1030,1023.15287582391,1025.92521523714,49.6115341186523
"21101",21101,-71.7799987792969,39.8633346557617,20190929,192,2.97702956199646,0,20.6599998474121,0,33.1080017089844,0,3,262,"MAB","NYB",1040,1023.15838929693,1025.63724683537,49.6115074157715
"21283",21283,-71.533332824707,39.9550018310547,20190929,120,3.96932983398438,0,23.1399993896484,0,35.3870010375977,0,4,263,"MAB","NYB",1070,1024.20396325549,1025.80554266101,49.6110916137695
"21395",21395,-71.5550003051758,39.8950004577637,20190930,286,2.97702121734619,0,23.7900009155273,0,35.7330017089844,0,3,264,"MAB","NYB",1080,1024.27162282952,1025.80580424603,49.6113662719727
"21667",21667,-71.2383346557617,39.9883346557617,20190930,297,1.98466885089874,0,23.8400001525879,0,35.9249992370605,0,2,265,"MAB","NYB",1080,1024.39798143082,1025.51424185288,49.6109466552734
"21961",21961,-71.3533325195312,40.0299987792969,20190930,146,3.96930336952209,0,24,0,35.7960014343262,0,4,266,"MAB","NYB",1070,1024.26141537316,1025.65976147492,49.6107597351074
"22100",22100,-71.5116653442383,40.1549987792969,20190930,88,0.992321848869324,0,21.0300006866455,0,34.5340003967285,0,1,267,"MAB","NYB",1060,1024.13540024203,1025.8419417427,49.6101989746094
"22183",22183,-71.2683334350586,40.2133331298828,20190930,97,2.97693514823914,0,21.7399997711182,0,35.0740013122559,0,3,268,"MAB","NYB",1060,1024.35969518741,1025.6529416274,49.6099319458008
"22272",22272,-71.4016647338867,40.3616676330566,20190930,80,0.992303013801575,0,20.8799991607666,0,34.6539993286133,0,1,269,"MAB","NYB",1060,1024.26739774026,1025.50301642117,49.6092567443848
"23446",23446,-71.836669921875,40.5816650390625,20191016,58,0.992283225059509,0,17.1100006103516,0,33.931999206543,0,1,282,"MAB","NYB",1060,1024.67303444438,1024.96139573057,49.608268737793
"23499",23499,-71.9166641235352,40.6650009155273,20191016,48,0.992275655269623,0,16.6299991607666,0,32.9269981384277,0,1,283,"MAB","NYB",1050,1024.0142639447,1024.77329574456,43.6555824279785
"23543",23543,-72.495002746582,40.6616668701172,20191016,33,0.992275953292847,0,17.4699993133545,0,31.9680004119873,0,1,284,"MAB","NYB",1010,1023.08262681539,1023.59394160677,28.7740497589111
"23572",23572,-72.9883346557617,40.6616668701172,20191016,14,0.992275953292847,0,17.3600006103516,0,31.757999420166,0,1,285,"MAB","NYB",3070,1022.94780718332,1022.98630754211,8.93031120300293
"23581",23581,-72.9166641235352,40.5800018310547,20191016,25,0.992283284664154,0,17.8600006103516,0,31.9580001831055,0,1,286,"MAB","NYB",1010,1022.98191254216,1023.06981279478,19.8447513580322
"23601",23601,-72.6750030517578,40.3366661071777,20191016,49,0.992305397987366,0,16.7900009155273,0,32.9739990234375,0,1,287,"MAB","NYB",1010,1024.01325165425,1024.43170892903,46.6331520080566
"23648",23648,-72.9150009155273,40.0833320617676,20191016,46,0.99232816696167,0,16.5900001525879,0,33.2169990539551,0,1,288,"MAB","NYB",1010,1024.24609751024,1024.78905149067,41.673641204834
"23776",23776,-73.3933334350586,39.3600006103516,20191018,48,1.98478186130524,0,17.1800003051758,0,32.9780006408691,0,2,292,"MAB","NYB",1730,1023.92938130869,1025.11020946898,46.6372833251953
"23821",23821,-72.8316650390625,39.4116668701172,20191018,69,0.992388725280762,0,17.6700000762939,0,34.7360000610352,0,1,293,"MAB","NYB",1020,1025.155002837,1025.3813662368,49.6135444641113
"23886",23886,-72.5849990844727,39.0133323669434,20191019,960,2.97725892066956,0,21.7800006866455,0,35.8639984130859,0,3,294,"Not in NES","NYB",NA,1024.94924417546,1025.14533283581,49.6153259277344
"24390",24390,-72.7350006103516,39.0516662597656,20191019,258,2.97724866867065,0,20.9599990844727,0,35.6510009765625,0,3,295,"MAB","NYB",NA,1025.01359209454,1025.2465464351,49.6151580810547
"24640",24640,-72.9983367919922,39.2466659545898,20191019,74,0.992403507232666,0,17.3600006103516,0,34.3219985961914,0,1,296,"MAB","NYB",1740,1024.91251884993,1025.61274030572,49.6142807006836
"24709",24709,-73.1650009155273,39,20191019,81,0.992425501346588,0,17.2399997711182,0,33.8380012512207,0,1,297,"MAB","NYB",1740,1024.57007370695,1025.04062687591,49.6153831481934
"25071",25071,-72.4199981689453,39.7483329772949,20191024,86,0.992358446121216,0,17.0400009155273,0,34.148998260498,0,1,302,"MAB","NYB",1020,1024.85608261786,1025.38633967724,49.6120262145996
"25154",25154,-72.4150009155273,40.0750007629395,20191024,65,0.992328941822052,0,16.1800003051758,0,33.9309997558594,0,1,303,"MAB","NYB",1020,1024.88880035619,1025.228656016,49.6105575561523
"25216",25216,-72.3349990844727,39.9133338928223,20191024,78,0.992343544960022,0,16.3299999237061,0,33.8720016479492,0,1,304,"MAB","NYB",1020,1024.80906949633,1025.27111023889,49.6112861633301
"25291",25291,-72.0016632080078,39.75,20191024,149,0.992358207702637,0,21.1499996185303,0,35.9389991760254,0,1,305,"MAB","NYB",1030,1025.17222943914,1025.38305121298,49.6120185852051
"25434",25434,-71.6699981689453,40.0800018310547,20191024,89,0.992328464984894,0,18.6299991607666,0,34.9059982299805,0,1,306,"MAB","NYB",1060,1025.04748043378,1025.33710373844,49.6105308532715
"25518",25518,-71.4183349609375,40.5,20191024,71,0.992290556430817,0,19.1100006103516,0,35.0400009155273,0,1,307,"MAB","NYB",1060,1025.02799493619,1025.3935505049,49.6086349487305
"25585",25585,-71.1666641235352,40.3300018310547,20191024,91,0.992305994033813,0,19.2999992370605,0,35.1679992675781,0,1,308,"MAB","NYB",1060,1025.07694776147,1025.42048232114,49.6094055175781
"25793",25793,-70.629997253418,39.8400001525879,20191025,822,0.992350101470947,0,21.5499992370605,0,35.9459991455078,0,1,310,"MAB","NYB",NA,1025.067056975,1025.51177621402,49.6116142272949
"25997",25997,-70.6266632080078,39.8349990844727,20191025,866,2.97703742980957,0,21.4899997711182,0,35.8759994506836,0,3,311,"MAB","NYB",NA,1025.03913761362,1025.36484391681,49.6116371154785
"27525",27525,-73.1066665649414,38.6766662597656,20200314,199,3.9697892665863,0,7.92000007629395,0,33.1180000305176,0,4,326,"MAB","NYB",1760,1025.82593674292,1026.14778414251,49.6168327331543
"27714",27714,-73.1399993896484,38.7433319091797,20200314,119,3.96976566314697,0,8.10000038146973,0,33.1240005493164,0,4,327,"MAB","NYB",1750,1025.80434016265,1026.08929386158,49.6165351867676
