,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1953,"EEL, AMERICAN","145,800",66,"27,414","249,218",Public,Commercial
1953,"EEL, CONGER","12,300",6,560,"5,091",Public,Commercial
1953,"FLOUNDER, AMERICAN PLAICE","16,200",7,"1,279","11,627",Public,Commercial
1953,"FLOUNDER, SUMMER","2,909,600","1,320","595,966","5,417,873",Public,Commercial
1953,"FLOUNDER, WINTER","398,900",181,"41,118","373,800",Public,Commercial
1953,"FLOUNDER, WITCH","4,400",2,400,"3,636",Public,Commercial
1953,"FLOUNDER, YELLOWTAIL","35,100",16,"4,540","41,273",Public,Commercial
1953,GOOSEFISH,"29,100",13,"1,603","14,573",Public,Commercial
1953,HADDOCK,"107,500",49,"9,672","87,927",Public,Commercial
1953,"HAKE, RED","205,700",93,"10,065","91,500",Public,Commercial
1953,"HAKE, SILVER","1,467,800",666,"114,980","1,045,273",Public,Commercial
1953,"HAKE, WHITE","16,900",8,"1,295","11,773",Public,Commercial
1953,"HALIBUT, ATLANTIC",700,0,184,"1,673",Public,Commercial
1953,HARVESTFISHES **,"903,000",410,"84,158","765,073",Public,Commercial
1953,"HERRING, ATLANTIC","30,500",14,325,"2,955",Public,Commercial
1953,"HERRING, LAKE OR CISCO","6,800",3,"2,011","18,282",Public,Commercial
1953,KINGFISHES **,500,0,75,682,Public,Commercial
1953,"LOBSTER, AMERICAN","433,900",197,"200,772","1,825,200",Public,Commercial
1953,"MACKEREL, ATLANTIC","214,100",97,"30,709","279,173",Public,Commercial
1953,"MACKEREL, KING AND CERO **","1,600",1,235,"2,136",Public,Commercial
1953,MENHADENS **,"100,431,000","45,555","1,302,550","11,841,364",Public,Commercial
1953,"MUSSEL, SEA","259,000",117,"64,700","588,182",Public,Commercial
1953,"OYSTER, EASTERN","2,835,800","1,286","1,661,843","15,107,664",Public,Commercial
1953,"PERCH, WHITE","13,300",6,"1,245","11,318",Public,Commercial
1953,"PERCH, YELLOW","26,900",12,"4,137","37,609",Public,Commercial
1953,PIKES **,,,2,18,Public,Commercial
1953,POLLOCK,"8,300",4,741,"6,736",Public,Commercial
1953,PORGIES **,"10,409,400","4,722","784,811","7,134,645",Public,Commercial
1953,"PUFFER, NORTHERN","516,900",234,"26,942","244,927",Public,Commercial
1953,"SCALLOP, BAY","162,000",73,"102,060","927,818",Public,Commercial
1953,"SCALLOP, SEA","3,073,000","1,394","1,362,089","12,382,627",Public,Commercial
1953,SEAROBINS **,"19,500",9,545,"4,955",Public,Commercial
1953,"SHAD, AMERICAN","491,200",223,"67,261","611,464",Public,Commercial
1953,"SHARKS, CHONDRICHTHYES (CLASS) **","15,400",7,755,"6,864",Public,Commercial
1953,"SHARKS, DOGFISH **","65,300",30,"2,745","24,955",Public,Commercial
1953,"SILVERSIDES, ATHERINIDAE (FAMILY) **","134,400",61,"17,345","157,682",Public,Commercial
1953,"SKATES, RAJIDAE (FAMILY) **","20,700",9,904,"8,218",Public,Commercial
1953,"SMELT, RAINBOW","6,600",3,"1,145","10,409",Public,Commercial
1953,SPOT,"2,100",1,86,782,Public,Commercial
1953,"SQUIDS, LOLIGINIDAE **","362,400",164,"27,397","249,064",Public,Commercial
1953,STURGEONS **,"14,200",6,"8,617","78,336",Public,Commercial
1953,SUCKERS **,"8,700",4,610,"5,545",Public,Commercial
1953,SUNFISHES **,"10,600",5,"1,318","11,982",Public,Commercial
1953,SWORDFISH,"1,300",1,688,"6,255",Public,Commercial
1953,TAUTOG,"3,100",1,315,"2,864",Public,Commercial
1953,"TILEFISH, GOLDEN","212,100",96,"26,060","236,909",Public,Commercial
1953,"TROUT, LAKE","2,700",1,"1,283","11,664",Public,Commercial
1953,"TUNA, BLUEFIN","12,200",6,"1,825","16,591",Public,Commercial
1953,"TUNA, LITTLE TUNNY","2,700",1,136,"1,236",Public,Commercial
1953,"VERTEBRATES, JAWED","1,256,100",570,"39,994","363,582",Public,Commercial
1953,WALLEYE,"330,600",150,"51,689","469,900",Public,Commercial
1953,WEAKFISH,"108,100",49,"17,237","156,700",Public,Commercial
1953,"WHITEFISH, LAKE","392,700",178,"149,213","1,356,482",Public,Commercial
1953,"WOLFFISH, ATLANTIC",200,0,10,91,Public,Commercial
1954,ALEWIFE,"83,500",38,"2,705","24,369",Public,Commercial
1954,"BASS, BLACK SEA","1,261,400",572,"176,610","1,591,081",Public,Commercial
1954,"BASS, ROCK","6,600",3,528,"4,757",Public,Commercial
1954,"BASS, STRIPED","438,900",199,"116,163","1,046,514",Public,Commercial
